label,steps,telemetry_coverage,max_sla_violations,max_completed_tasks,max_energy_watts,actions,weighted_telemetry_delta,artifact
sample_telemetry_reward_audit,2,1,1,25,310,"{""migrate"": 1, ""throttle"": 1}",-94.46,reports/evaluations/202605020534_sample_telemetry_reward_audit.json
aiopslab_noop_kube_reward_audit,1,1,0,0,116.420408,"{""dvfs"": 1}",2.301477552,reports/evaluations/202605021205_aiopslab_noop_kube_reward_audit.json
aiopslab_misconfig_detection_reward_audit,1,1,1,0,116.420408,"{""dvfs"": 1}",-47.698522448,reports/evaluations/202605021230_aiopslab_misconfig_detection_reward_audit.json
aiopslab_combined_reward_audit,3,1,1,0,116.420408,"{""dvfs"": 3}",-43.095567344,reports/evaluations/202605021235_aiopslab_combined_reward_audit.json
aiopslab_misconfig_localization_reward_audit,1,1,1,0,116.420408,"{""dvfs"": 1}",-47.698522448,reports/evaluations/202605021245_aiopslab_misconfig_localization_reward_audit.json
aiopslab_misconfig_analysis_reward_audit,1,1,1,0,116.420408,"{""dvfs"": 1}",-47.698522448,reports/evaluations/202605021250_aiopslab_misconfig_analysis_reward_audit.json
aiopslab_misconfig_mitigation_reward_audit,2,1,1,0,116.420408,"{""dvfs"": 2}",-95.397044896,reports/evaluations/202605021255_aiopslab_misconfig_mitigation_reward_audit.json
aiopslab_full_phase_reward_audit,10,1,1,0,116.420408,"{""dvfs"": 10}",-376.98522448,reports/evaluations/202605021300_aiopslab_full_phase_reward_audit.json
aiopslab_misconfig_mitigation_periodic_reward_audit,25,1,2,2,117.620408,"{""dvfs"": 25}",-1237.4086612,reports/evaluations/202605021325_aiopslab_misconfig_mitigation_periodic_reward_audit.json
aiopslab_mitigation_enriched_reward_audit,23,1,2,2,117.620408,"{""dvfs"": 22, ""replicate"": 1}",-1142.5252163,reports/evaluations/202605021350_aiopslab_mitigation_enriched_reward_audit.json
aiopslab_mitigation_enriched_reward_audit_risk_preserved,23,1,2,2,117.620408,"{""dvfs"": 2, ""replicate"": 21}",-1142.5252163,reports/evaluations/202605021355_aiopslab_mitigation_enriched_reward_audit_risk_preserved.json
aiopslab_mitigation_prometheus_reward_audit,14,1,1,2,128.083859,"{""dvfs"": 1, ""replicate"": 13}",-665.876089708,reports/evaluations/202605022020_aiopslab_mitigation_prometheus_reward_audit.json
